2023-04-01 00:06:10.418 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:06:10.442 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 00:16:33.785 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 16596 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:16:33.791 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:16:33.908 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:16:33.909 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:16:33.910 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:17:09.719 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-01 00:17:12.520 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 39.558 seconds (JVM running for 40.862)
2023-04-01 00:17:39.923 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-01 00:17:39.930 [AWT-EventQueue-0] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-04-01 00:17:40.758 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-01 00:19:45.896 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:19:45.911 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 00:19:53.363 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 6124 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:19:53.367 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:19:53.448 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:19:53.448 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:19:53.448 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:19:55.964 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
